track,gray,normal
Mario Kart Stadium,mario kart stadium,mario kart stadium
Water Park,water park,water park
Sweet Sweet Canyon,sweet sweet canyon,sweet sweet canyon
Thwomp Ruins,thwomp ruins,thwomp ruins
Mario Circuit,mario circuit,mario circuit
Toad Harbor,toad harbor,toad harbor
Twisted Mansion,twisted mansion,twisted mansion
Shy Guy Falls,shy guy falls,shy guy falls
Sunshine Airport,sunshine airport,sunshine airport
Dolphin Shoals,dolphin shoals,dolphin shoals
Electrodome,electrodrome,electrodrome
Mount Wario,mount wario,mount wario
Cloudtop Cruise,cloudtop cruise,cloudtop cruise
Bone-Dry Dunes,bone-dry dunes,bone-dry dunes
Bowser's Castle,bowser's castle,bowser's castle
Rainbow Road,rainbow road,rainbow road
Yoshi Circuit (GCN),ecn yoshi circuit,ecn yoshi circuit
Excitebike Arena,excitebike arena,excitebike arena
Dragon Driftway,dragon driftway,dragon driftway
Mute City,mute city,mute city
Baby Park (GCN),ecn baby park,ecn baby park
Cheese Land (GBA),cea cheese land,esa cheese land
Wild Woods,wild woods,wild woods
Animal Crossing,animal crossing,animal crossing
Moo Moo Meadows (Wii),wi moo moo meadows,wi moo moo meadows
Mario Circuit (GBA),esa mario circuit,cea mario circuit
Cheep Cheep Beach (DS),ps cheep cheep beach,os cheep cheep beach
Toad's Turnpike (N64),nea toad's turnpike,nea toad's turnpike
Dry Dry Desert (GCN),ecn dry dry desert,ecn dry dry desert
Donut Plains 3 (SNES),snes donut plains 3,snes donut plains 3
Royal Raceway (N64),nea royal raceway,nea royal raceway
DK Jungle (3DS),aos dk jungle,aos dk jungle
Wario Stadium (DS),os wario stadium,os wario stadium
Sherbet Land (GCN),ecn sherbet land,ecn sherbet land
Music Park (3DS),aos music park,aos music park
Yoshi Valley (N64),nea yoshi valley,nea yoshi valley
Tick-Tock Clock (DS),ps tick-tock clock,ps tick-tock clock
Piranha Plant Slide (3DS),aos piranha plant slide,aos piranha plant slide
Grumble Volcano (Wii),wi grumble volcano,wi grumble volcano
Rainbow Road (N64),nea rainbow road,nea rainbow road
Wario's Gold Mine (Wii),wi wario's gold mine,wi wario's gold mine
Rainbow Road (SNES),snes rainbow road,snes rainbow road
Ice Ice Outpost,ice ice outpost,ice ice outpost
Hyrule Circuit,hyrule circuit,hyrule circuit
Neo Bowser City (3DS),aos neo bowser city,sos neo bowser city
Ribbon Road (GBA),cea ribbon road,gba ribbon road
Super Bell Subway,super bell subway,super bell subway
Big Blue,big blue,big blue
Paris Promenade (Tour),tor paris promenade,tour paris promenade
Toad Circuit (3DS),aos toad circuit,aos toad circuit
Choco Mountain (N64),nea choco mountain,nea choco mountain
Coconut Mall (Wii),wi coconut mall,wi coconut mall
Tokyo Blur (Tour),tour tokyo blur,tour tokyo blur
Shroom Ridge (DS),ps shroom ridge,os shroom ridge
Sky Garden (GBA),esa sky garden,cea sky garden
Ninja Hideaway,ninja hideaway,ninja hideaway
New York Minute (Tour),tor new york minute,tor new york minute
Mario Circuit 3 (SNES),snes mario circuit 3,snes mario circuit 3
Kalimari Desert (N64),nea kalimari desert,nea kalimari desert
Waluigi Pinball (DS),os waluigi pinball,os waluigi pinball
Sydney Sprint (Tour),tour sydney sprint,tor sydney sprint
Snow Land (GBA),cea snow land,esa snow land
Mushroom Gorge (Wii),wi mushroom gorge,wi mushroom gorge
Sky-High Sundae,sky-high sundae,sky-high sundae
London Loop (Tour),tour london loop,tour london loop
Boo Lake (GBA),esa boo lake,esa boo lake
Rock Rock Mountain (3DS),aos rock rock mountain,aos rock rock mountain
Maple Treeway (Wii),wi maple treeway,wi maple treeway
Berlin Byways (Tour),tor berlin byways,tor berlin byways
Peach Gardens (DS),ps peach gardens,os peach gardens
Merry Mountain,merry mountain,merry mountain
Rainbow Road (3DS),aos rainbow road,aos rainbow road
Amsterdam Drift (Tour),tor amsterdam drift,tor amsterdam drift
Riverside Park (GBA),cea riverside park,esa riverside park
DK Summit (Wii),wi dk summit,wi dk summit
Yoshi's Island,yoshi's island,yoshi's island
Bangkok Rush (Tour),tor bangkok rush,tor bangkok rush
Mario Circuit (DS),os mario circuit,os mario circuit
Waluigi Stadium (GCN),ecn waluigi stadium,ecn waluigi stadium
Singapore Speedway (Tour),tor singapore speedway,tor singapore speedway
Athens Dash (Tour),tor athens dash,tor athens dash
Daisy Cruiser (GCN),ecn daisy cruiser,ecn daisy cruiser
Moonview Highway (Wii),wi moonview highway,wi moonview highway
Squeaky Clean Sprint,squeaky clean sprint,squeaky clean sprint
Los Angeles Laps (Tour),tor los angeles laps,tor los angeles laps
Sunset Wilds (GBA),esa sunset wilds,cea sunset wilds
Koopa Cape (Wii),wi koopa cape,wi koopa cape
Vancouver Velocity (Tour),tour vancouver velocity,tor vancouver velocity
Rome Avanti (Tour),tor rome avanti,tor rome avanti
DK Mountain (GCN),ecn dk mountain,ecn dk mountain
Daisy Circuit (Wii),wi daisy circuit,wi daisy circuit
Piranha Plant Cove,piranha plant cove,piranha plant cove
Madrid Drive (Tour),tour madrid drive,tour madrid drive
Rosalina's Ice World (3DS),aos rosalina's ice world,aos rosalina's ice world
Bowser's Castle 3 (SNES),snes bowser castle 3,snes bowser castle 3
Rainbow Road (Wii),wi rainbow road,wi rainbow road
